event_time,estimate,se,ci_low,ci_high,pretrend_F,pretrend_p
-5,-1.997915259273614,.17067359,-2.3324356,-1.663395,41.093048,0
-4,-2.370169815359949,.20401753,-2.7700441,-1.9702954,41.093048,0
-3,-2.218197859403335,.21432069,-2.6382663,-1.7981293,41.093048,0
-2,-1.635011462223181,.23704723,-2.0996239,-1.170399,41.093048,0
-1,-.3838767176582554,.24708983,-.86817276,.10041936,41.093048,0
1,.9305803215539304,.26273954,.41561082,1.4455498,41.093048,0
2,2.497940828394412,.27338341,1.9621093,3.0337722,41.093048,0
3,3.231500236331275,.30006245,2.6433778,3.8196225,41.093048,0
4,3.191385262485808,.28676981,2.6293163,3.753454,41.093048,0
5,2.425897604471144,.26700291,1.9025719,2.9492233,41.093048,0
