event_time,estimate,se,ci_low,ci_high
-5,-1.887054639622313,.18415304,-2.2479947,-1.5261147
-4,-2.241840924288669,.2233704,-2.679647,-1.8040349
-3,-2.06672173355734,.24244489,-2.5419137,-1.5915297
-2,-1.47849210722102,.27268437,-2.0129535,-.94403076
-1,-.2015913588676058,.29731044,-.78431982,.3811371
0,.9476346007357843,.30381149,.35216409,1.5431051
1,1.115717135923457,.31354862,.50116181,1.7302724
2,2.65978398449067,.30843037,2.0552604,3.2643075
3,3.390788709522112,.32373041,2.7562771,4.0253005
4,3.330621772730931,.30223143,2.7382481,3.9229953
5,2.550525539733377,.27567056,2.0102112,3.0908399
