term,event_time,estimate,se,ci_low,ci_high
Pre_avg,,2.614429,.10649526,2.4056983,2.8231597
Post_avg,,5.7840281,.29838404,5.1991954,6.3688607
Tm4,-4,1.8311716,.13576685,1.5650686,2.0972745
Tm3,-3,2.3066244,.15342925,2.005903,2.6073458
Tm2,-2,2.9133461,.17190231,2.5764174,3.2502747
Tm1,-1,3.4065735,.1726426,3.0681939,3.7449532
Tp0,0,2.5217299,.16571562,2.1969273,2.8465326
Tp1,1,3.7072914,.23837204,3.2400823,4.1745005
Tp2,2,5.7013574,.31926015,5.0756073,6.3271074
Tp3,3,6.65694,.39134508,5.8899035,7.4239764
Tp4,4,7.6056776,.4198356,6.7827997,8.4285555
Tp5,5,8.5111713,.4589887,7.6115537,9.4107895
