term,event_time,estimate,se,ci_low,ci_high
Pre_avg,,3.199811,.39246243,2.4305847,3.9690373
Post_avg,,10.731467,2.2112429,6.3974314,15.065503
Tm4,-4,3.5151935,.47004342,2.5939083,4.4364786
Tm3,-3,4.1193271,.53892702,3.06303,5.1756239
Tm2,-2,1.8695686,.42721975,1.0322179,2.7069192
Tm1,-1,3.295155,.49704057,2.3209555,4.2693543
Tp0,0,1.9336324,.51798809,.91837573,2.948889
Tp1,1,4.3704405,.60191381,3.1906893,5.5501914
Tp2,2,9.0753317,1.6258947,5.8885779,12.262085
Tp3,3,13.12192,2.5786338,8.0677977,18.176043
Tp4,4,17.286264,3.8402412,9.7593918,24.813137
Tp5,5,18.601213,4.5021257,9.7770472,27.425381
