density_percentile,density_1000,effect,se,ci_low,ci_high,observations
5,.0048185611208356,.50607604,.25862163,-.00082233053,1.0129744,580323
10,.0107999822271433,.54297227,.25675213,.039738074,1.0462065,580620
15,.0165222334671462,.57849312,.25519821,.078304656,1.0786816,580977
20,.0225720837915045,.61620265,.25379616,.11876214,1.1136432,581263
25,.0296636337291078,.66048956,.25244629,.1656948,1.1552843,581428
30,.0377534342862038,.71103776,.25128844,.21851243,1.2035631,581751
35,.0478583804826132,.77365035,.25030631,.28305,1.2642508,582310
40,.0608250719249513,.85386109,.24974982,.36435145,1.3433708,582593
45,.0778895688937765,.95916975,.25018176,.46881345,1.449526,583194
50,.1016480655449123,1.1074032,.25115705,.61513543,1.599671,584383
55,.1403014539477891,1.3462197,.25654453,.84339237,1.8490469,586077
60,.2025872772540019,1.7146344,.27434531,1.1769177,2.2523513,588232
65,.3066900497388106,2.2936022,.32078508,1.6648633,2.9223409,592247
70,.5029865526713179,3.2751951,.42639604,2.4394588,4.1109314,598875
75,.8652254987550468,4.6693263,.61612934,3.4617126,5.8769398,610477
80,1.49990420358036,5.5174417,.83114028,3.888407,7.1464767,628243
85,2.420239498509896,2.4822044,1.1218897,.28330064,4.681108,144223
90,3.714042005796242,1.5904906,1.3782307,-1.1108416,4.2918229,85807
95,6.130018585585399,2.6032419,2.8209121,-2.925746,8.1322298,36028
